code,date,value
TVTVR,2016-01-21,24.0752
TVTVR,2016-01-20,14.8089
TVTVR,2016-01-19,36.2859
TVTVR,2016-01-18,24.6226
TVTVR,2016-01-17,12.5729
TVTVR,2016-01-16,11.2481
TVTVR,2016-01-15,11.3913
TVTVR,2016-01-14,47.8754
TVTVR,2016-01-13,19.8194
TVTVR,2016-01-12,49.7158
TVTVR,2016-01-11,31.4215
TVTVR,2016-01-10,45.776
TVTVR,2016-01-09,30.0705
TVTVR,2016-01-08,23.0656
TVTVR,2016-01-07,19.4168
TVTVR,2016-01-06,40.1435
TVTVR,2016-01-05,40.191
TVTVR,2016-01-04,38.4275
TVTVR,2016-01-03,30.9093
TVTVR,2016-01-02,32.4716
TVTVR,2016-01-01,33.4599
TVTVR,2015-12-31,26.7444
TVTVR,2015-12-30,22.6466
TVTVR,2015-12-29,25.6294
TVTVR,2015-12-28,40.0611
TVTVR,2015-12-27,18.9957
TVTVR,2015-12-26,13.4304
TVTVR,2015-12-25,77.6906
TVTVR,2015-12-24,38.0638
TVTVR,2015-12-23,49.0963
TVTVR,2015-12-22,56.4968
TVTVR,2015-12-21,21.169
TVTVR,2015-12-20,24.6716
TVTVR,2015-12-19,41.9387
TVTVR,2015-12-18,35.5425
TVTVR,2015-12-17,38.8647
TVTVR,2015-12-16,19.3939
TVTVR,2015-12-15,23.8701
TVTVR,2015-12-14,29.5885
TVTVR,2015-12-13,39.1636
TVTVR,2015-12-12,10.86
TVTVR,2015-12-11,23.7295
TVTVR,2015-12-10,48.1376
TVTVR,2015-12-09,20.8228
TVTVR,2015-12-08,45.6954
TVTVR,2015-12-07,31.5179
TVTVR,2015-12-06,30.0223
TVTVR,2015-12-05,38.0525
TVTVR,2015-12-04,34.2292
TVTVR,2015-12-03,31.2265
TVTVR,2015-12-02,44.4653
TVTVR,2015-12-01,24.3608
TVTVR,2015-11-30,22.9395
TVTVR,2015-11-29,45.9707
TVTVR,2015-11-28,45.1803
TVTVR,2015-11-27,27.3466
TVTVR,2015-11-26,13.158
TVTVR,2015-11-25,29.5511
TVTVR,2015-11-24,36.7055
TVTVR,2015-11-23,57.5503
TVTVR,2015-11-22,60.4055
TVTVR,2015-11-21,48.2275
TVTVR,2015-11-20,16.8398
TVTVR,2015-11-19,13.636
TVTVR,2015-11-18,15.8369
TVTVR,2015-11-17,11.7808
TVTVR,2015-11-16,14.4524
TVTVR,2015-11-15,15.3147
TVTVR,2015-11-14,19.361
TVTVR,2015-11-13,16.9131
TVTVR,2015-11-12,12.8232
TVTVR,2015-11-11,11.143
TVTVR,2015-11-10,12.3138
TVTVR,2015-11-09,18.9845
TVTVR,2015-11-08,13.4554
TVTVR,2015-11-07,12.1666
TVTVR,2015-11-06,11.4527
TVTVR,2015-11-05,8.77
TVTVR,2015-11-04,7.8663
TVTVR,2015-11-03,8.3915
TVTVR,2015-11-02,18.5599
TVTVR,2015-11-01,23.0166
TVTVR,2015-10-31,14.8783
TVTVR,2015-10-30,14.2837
TVTVR,2015-10-29,14.1227
TVTVR,2015-10-28,12.1612
TVTVR,2015-10-27,11.316
TVTVR,2015-10-26,11.8642
TVTVR,2015-10-25,11.7776
TVTVR,2015-10-24,12.1534
TVTVR,2015-10-23,12.9908
TVTVR,2015-10-22,14.0561
TVTVR,2015-10-21,12.3511
TVTVR,2015-10-20,12.1389
TVTVR,2015-10-19,19.2329
TVTVR,2015-10-18,14.1124
TVTVR,2015-10-17,12.7848
TVTVR,2015-10-16,10.9557
TVTVR,2015-10-15,15.9232
TVTVR,2015-10-14,12.5772
TVTVR,2015-10-13,11.2054
TVTVR,2015-10-12,11.558
TVTVR,2015-10-11,20.0944
TVTVR,2015-10-10,12.7094
TVTVR,2015-10-09,19.4709
TVTVR,2015-10-08,28.979
TVTVR,2015-10-07,14.3157
TVTVR,2015-10-06,11.8979
TVTVR,2015-10-05,11.6759
TVTVR,2015-10-04,10.8607
TVTVR,2015-10-03,11.5315
TVTVR,2015-10-02,17.49
TVTVR,2015-10-01,17.6385
TVTVR,2015-09-30,14.3109
TVTVR,2015-09-29,14.8161
TVTVR,2015-09-28,12.6385
TVTVR,2015-09-27,15.1001
TVTVR,2015-09-26,11.9522
TVTVR,2015-09-25,13.1143
TVTVR,2015-09-24,8.4521
TVTVR,2015-09-23,25.474
TVTVR,2015-09-22,16.6885
TVTVR,2015-09-21,27.2326
TVTVR,2015-09-20,15.3819
TVTVR,2015-09-19,18.802
TVTVR,2015-09-18,14.3267
TVTVR,2015-09-17,21.3833
TVTVR,2015-09-16,14.8436
TVTVR,2015-09-15,13.218
TVTVR,2015-09-14,10.8503
TVTVR,2015-09-13,11.8933
TVTVR,2015-09-12,8.9133
TVTVR,2015-09-11,19.3698
TVTVR,2015-09-10,13.3981
TVTVR,2015-09-09,14.5126
TVTVR,2015-09-08,10.3012
TVTVR,2015-09-07,8.4907
TVTVR,2015-09-06,11.0794
TVTVR,2015-09-05,9.9151
TVTVR,2015-09-04,11.9735
TVTVR,2015-09-03,11.737
TVTVR,2015-09-02,11.6107
TVTVR,2015-09-01,15.9315
TVTVR,2015-08-31,13.7048
TVTVR,2015-08-30,11.0533
TVTVR,2015-08-29,12.5266
TVTVR,2015-08-28,15.1336
TVTVR,2015-08-27,17.9298
TVTVR,2015-08-26,11.9001
TVTVR,2015-08-25,9.0022
TVTVR,2015-08-24,16.2197
TVTVR,2015-08-23,12.027
TVTVR,2015-08-22,18.3091
TVTVR,2015-08-21,32.7079
TVTVR,2015-08-20,17.3316
TVTVR,2015-08-19,15.3904
TVTVR,2015-08-18,37.3213
TVTVR,2015-08-17,44.5856
TVTVR,2015-08-16,22.6144
TVTVR,2015-08-15,53.263
TVTVR,2015-08-14,28.0847
TVTVR,2015-08-13,26.8636
TVTVR,2015-08-12,23.4763
TVTVR,2015-08-11,37.2188
TVTVR,2015-08-10,34.2681
TVTVR,2015-08-09,31.3005
TVTVR,2015-08-08,29.9194
TVTVR,2015-08-07,25.1916
TVTVR,2015-08-06,28.1977
TVTVR,2015-08-05,36.926
TVTVR,2015-08-04,35.0236
TVTVR,2015-08-03,31.2501
TVTVR,2015-08-02,38.6926
TVTVR,2015-08-01,25.2616
TVTVR,2015-07-31,25.9696
TVTVR,2015-07-30,20.8066
TVTVR,2015-07-29,21.2086
TVTVR,2015-07-28,22.7612
TVTVR,2015-07-27,18.9953
TVTVR,2015-07-26,22.158
TVTVR,2015-07-25,19.7562
TVTVR,2015-07-24,17.1059
TVTVR,2015-07-23,27.8289
TVTVR,2015-07-22,20.6633
TVTVR,2015-07-21,28.0542
TVTVR,2015-07-20,20.2265
TVTVR,2015-07-19,24.2284
TVTVR,2015-07-18,16.7599
TVTVR,2015-07-17,16.8214
TVTVR,2015-07-16,11.6334
TVTVR,2015-07-15,30.0823
TVTVR,2015-07-14,20.0518
TVTVR,2015-07-13,7.7614
TVTVR,2015-07-12,12.3121
TVTVR,2015-07-11,14.3418
TVTVR,2015-07-10,14.639
TVTVR,2015-07-09,17.0108
TVTVR,2015-07-08,15.4909
TVTVR,2015-07-07,20.9864
TVTVR,2015-07-06,14.6163
TVTVR,2015-07-05,14.1092
TVTVR,2015-07-04,23.3697
TVTVR,2015-07-03,28.5314
TVTVR,2015-07-02,24.4345
TVTVR,2015-07-01,15.9329
TVTVR,2015-06-30,16.713
TVTVR,2015-06-29,16.7489
TVTVR,2015-06-28,20.2733
TVTVR,2015-06-27,26.456
TVTVR,2015-06-26,60.0118
TVTVR,2015-06-25,38.2937
TVTVR,2015-06-24,30.3967
TVTVR,2015-06-23,46.3446
TVTVR,2015-06-22,38.0038
TVTVR,2015-06-21,61.8201
TVTVR,2015-06-20,36.168
TVTVR,2015-06-19,69.3092
TVTVR,2015-06-18,24.5623
TVTVR,2015-06-17,20.175
TVTVR,2015-06-16,20.345
TVTVR,2015-06-15,21.9445
TVTVR,2015-06-14,34.211
TVTVR,2015-06-13,51.4139
TVTVR,2015-06-12,42.9956
TVTVR,2015-06-11,41.0064
TVTVR,2015-06-10,39.1858
TVTVR,2015-06-09,23.9239
TVTVR,2015-06-08,28.0171
TVTVR,2015-06-07,42.7526
TVTVR,2015-06-06,45.8366
TVTVR,2015-06-05,27.077
TVTVR,2015-06-04,41.3579
TVTVR,2015-06-03,43.7816
TVTVR,2015-06-02,28.0726
TVTVR,2015-06-01,22.48
TVTVR,2015-05-31,40.7278
TVTVR,2015-05-30,38.5423
TVTVR,2015-05-29,31.6515
TVTVR,2015-05-28,34.2715
TVTVR,2015-05-27,25.1531
TVTVR,2015-05-26,20.8427
TVTVR,2015-05-25,33.3062
TVTVR,2015-05-24,35.9984
TVTVR,2015-05-23,35.313
TVTVR,2015-05-22,25.5713
TVTVR,2015-05-21,35.7548
TVTVR,2015-05-20,23.8861
TVTVR,2015-05-19,28.9514
TVTVR,2015-05-18,32.0713
TVTVR,2015-05-17,33.5815
TVTVR,2015-05-16,34.6043
TVTVR,2015-05-15,28.1248
TVTVR,2015-05-14,20.1374
TVTVR,2015-05-13,33.0072
TVTVR,2015-05-12,20.7308
TVTVR,2015-05-11,22.6387
TVTVR,2015-05-10,35.5672
TVTVR,2015-05-09,23.6003
TVTVR,2015-05-08,16.1376
TVTVR,2015-05-07,18.8235
TVTVR,2015-05-06,31.9722
TVTVR,2015-05-05,18.9722
TVTVR,2015-05-04,25.0008
